,0
336,-0.05895513024963953
337,-0.05570738001777292
338,-0.056436188342050476
339,-0.05462731791685475
340,-0.05509961198618198
341,-0.05561548217542136
342,-0.05641076425681022
343,-0.057035845580249635
344,-0.05861404760366899
345,-0.06035097714170905
346,-0.0594935947726688
347,-0.060594759391371676
348,-0.058681005465349746
349,-0.05559815538567688
350,-0.05720221930266316
351,-0.05906408368417171
352,-0.05942241740907852
353,-0.06411473694729855
354,-0.0640591943798775
355,-0.06684650645940904
356,-0.06571500941163959
357,-0.06383414844539714
358,-0.06399754003717781
359,-0.0622447353385831
360,-0.06214949635032618
361,-0.0630960965658427
362,-0.06286768119615599
363,-0.06115506520017818
364,-0.06405845686201107
365,-0.06320067729352973
366,-0.06714437782238336
367,-0.0729252126794096
368,-0.07154856140347605
369,-0.07575926911109798
370,-0.07686240705675312
371,-0.07594181606809927
372,-0.07523504101283952
373,-0.07658126589826267
374,-0.07659313579277119
375,-0.07842256376566642
376,-0.07510013252206216
377,-0.07599191120494124
378,-0.07499205366422572
379,-0.074377129458704
380,-0.06936602767385351
381,-0.07310703853795572
382,-0.07201163645828577
383,-0.0750336886476339
384,-0.07371467565979561
385,-0.07492269942636057
386,-0.08004840500224886
387,-0.08167096928593029
388,-0.079057319102855
389,-0.07981443511235813
390,-0.07822894626017105
391,-0.07939701805666528
392,-0.08273057577017248
393,-0.08276699321197309
394,-0.08415109238886408
395,-0.08583867447714241
396,-0.08455926109860741
397,-0.08693317010859362
398,-0.08438604333095692
399,-0.08461487842752116
400,-0.08404551653462625
401,-0.08108904049372287
402,-0.08520648081865487
403,-0.08715147250260073
404,-0.09023992137470016
405,-0.0915726027579041
406,-0.0920526442812978
407,-0.0920258574108398
408,-0.09505757397634948
409,-0.0921185617886083
410,-0.09779221767850398
411,-0.0968977687519477
412,-0.10251388854312446
413,-0.10083839108751688
414,-0.09737542341315744
415,-0.09799499346560739
416,-0.09671018050477022
417,-0.09537710742002536
418,-0.09459583924714572
419,-0.09394301770297589
420,-0.09165730944889901
421,-0.08889565302993933
422,-0.08536128768256399
423,-0.08680206808691962
424,-0.08475336323786913
425,-0.0823068874292221
426,-0.08242502668372506
427,-0.07895897747256331
428,-0.0789656016237335
429,-0.0818365035061674
430,-0.08138257833270553
431,-0.08109339312424677
432,-0.08404980499150483
433,-0.08836360259236822
434,-0.08590119376055996
435,-0.0885135284855617
436,-0.08759266578017144
437,-0.08842397754940924
438,-0.08565439115372002
439,-0.08786722153300013
440,-0.08720754092115417
441,-0.08866545686905898
442,-0.08884068304082375
443,-0.08701214992422952
444,-0.09066140391280116
445,-0.08837368858815844
446,-0.08610825565527205
447,-0.08845637930592244
448,-0.0860843618370302
449,-0.08698784219972118
450,-0.08783047836902061
451,-0.09037892059278599
452,-0.08519740610602868
453,-0.08213617820161667
454,-0.07845308463131374
455,-0.07720765404539062
456,-0.07508865042145699
457,-0.07225989914938322
458,-0.0717603957449605
459,-0.07073660616707465
460,-0.06756859147047027
461,-0.06823772289817377
462,-0.0657019569179498
463,-0.06519110010618247
464,-0.06430577934654665
465,-0.06651412077438384
466,-0.06954979385584763
467,-0.06851832801798467
468,-0.06464325407957616
469,-0.06894192178771623
470,-0.0701626656963609
471,-0.0702641465475475
472,-0.07059039772044119
473,-0.06983284605249176
474,-0.07188021074064856
475,-0.0720591255755122
476,-0.07303406505190611
477,-0.07636882742262428
478,-0.0811588433490571
479,-0.0797362437965552
480,-0.07842586000699733
481,-0.08101103897140953
482,-0.07697300384086816
483,-0.07703592483105348
484,-0.07680871830165478
485,-0.07868889470594184
486,-0.07845767614084172
487,-0.0795291553615728
488,-0.08117318910969488
489,-0.07936785174748577
490,-0.07753617017036987
491,-0.07693520030633329
492,-0.07771639161078572
493,-0.07817752410609739
494,-0.07979945350255627
495,-0.07805817439947552
496,-0.07785445164101285
497,-0.07895334534891504
498,-0.07782525782431185
499,-0.0777106338266566
500,-0.07558377192268703
501,-0.07075393117254128
502,-0.07246494413284238
503,-0.06893327241050085
504,-0.06901284441514306
505,-0.06590986383527203
506,-0.0695056152216298
507,-0.06805338312024
508,-0.06548659111869046
509,-0.06892942548384864
510,-0.06566902646315861
511,-0.06647165385854689
512,-0.0684016502975289
513,-0.06608243235125791
514,-0.06488424485875242
515,-0.06596352031004658
516,-0.06170782964828392
517,-0.0615044481604277
518,-0.06396783057432191
519,-0.06499144945646419
520,-0.06483338358876903
521,-0.06594324353504738
522,-0.06480255049781068
523,-0.0645403946619364
524,-0.06516302113185019
525,-0.06318191845249466
526,-0.06323820026250054
527,-0.061010846590340874
528,-0.05890099917491452
529,-0.06420920186157973
530,-0.06624765979562652
531,-0.06570526149361476
532,-0.06711939595141414
533,-0.06692309926517379
534,-0.06404760845973875
535,-0.05928759264197837
536,-0.05931966756175082
537,-0.06058487260380524
538,-0.06214610541301393
539,-0.062215832385202896
540,-0.06362873453308493
541,-0.0630424055191751
542,-0.06290603425779526
543,-0.06306788755557527
544,-0.05824138167406132
545,-0.054226733210814906
546,-0.05119974375979495
547,-0.05015579734178218
548,-0.050817855087621676
549,-0.04988224132230826
550,-0.048580475444399016
551,-0.04733146709694842
552,-0.0455453163428807
553,-0.046884812889655667
554,-0.04641818178121043
555,-0.04522729319455965
556,-0.045874972786134796
557,-0.04500854551196669
558,-0.04323720329407687
559,-0.041644178475567416
560,-0.04280695221608735
561,-0.04472383360300462
562,-0.04382353636404168
563,-0.04568070773310008
564,-0.0476286869396832
565,-0.04684743848040876
566,-0.0470360205260945
567,-0.04562207755070739
568,-0.04364499136036959
569,-0.04273960239726707
570,-0.04470654158847994
571,-0.0440052660532517
572,-0.04522948978121234
573,-0.04245542841371851
574,-0.04171939555885884
575,-0.04171837808612395
576,-0.03954089435687296
577,-0.03745719219697366
578,-0.035337424431322886
579,-0.03221110400952191
580,-0.034217578754580744
581,-0.03339161819536965
582,-0.03455053629873993
583,-0.03358736850069123
584,-0.03559634865925909
585,-0.036394430022679315
586,-0.03678381978696146
587,-0.03801855966274491
588,-0.03686744203919161
589,-0.03913779539095596
590,-0.039770932138310594
591,-0.03627632280809091
592,-0.036753394019152216
593,-0.03777081725592477
594,-0.036704897836893964
595,-0.0356554231257414
596,-0.03535726320476834
597,-0.03375694895171742
598,-0.036254582925676106
599,-0.03665009905715974
600,-0.03827434733462587
601,-0.03948308321088219
602,-0.0370365610733957
603,-0.03700193585925867
604,-0.036689500491505635
605,-0.03610437004652626
606,-0.03645046943895221
607,-0.036070750510976454
608,-0.03569555788173294
609,-0.036069452024251644
610,-0.03644671289741932
611,-0.03744786033321886
612,-0.03493018903431799
613,-0.03400047661656013
614,-0.03253780508971043
615,-0.03258653763743492
616,-0.031224188608419533
617,-0.02926007455612938
618,-0.030548411544624267
619,-0.03030719343724026
620,-0.02962344167044397
621,-0.029912208593547106
622,-0.02982573124994097
623,-0.030201851162747796
624,-0.03206133322617879
625,-0.03304674948356483
626,-0.03371855461340788
627,-0.033851552318453756
628,-0.03400206368202276
629,-0.03406543576507067
630,-0.03604301891676856
631,-0.03650653772623145
632,-0.03821702320100416
633,-0.038988701559861005
634,-0.039922757380623654
635,-0.03728728767855494
636,-0.03518712453563526
637,-0.03327916354153025
638,-0.031540646345805654
639,-0.03147883838065979
640,-0.031195541453535546
641,-0.02984937055594134
642,-0.02862298229723533
