,0
126,-0.09619094344311048
127,-0.09593976738445774
128,-0.09380429658892418
129,-0.09449979713867966
130,-0.09370056821022558
131,-0.09426038752327112
132,-0.09456130011402322
133,-0.09217484286868581
134,-0.09226535648949001
135,-0.09418596734009255
136,-0.0957041182630272
137,-0.09649381020760893
138,-0.09577120363038895
139,-0.0958857057219484
140,-0.09662964004031929
141,-0.09820907231766544
142,-0.09751700087930774
143,-0.09628510957497109
144,-0.096683355508575
145,-0.09563152768029927
146,-0.09489669242293372
147,-0.09561586194654112
148,-0.09389474946517136
149,-0.0920710540228775
150,-0.08998022351648056
151,-0.0876814643093202
152,-0.08926001249568458
153,-0.09143646283352798
154,-0.08789894546048445
155,-0.08651197436102631
156,-0.08673423553682773
157,-0.08642551235648512
158,-0.08598452781151365
159,-0.08656666568253076
160,-0.08742992240855452
161,-0.08925192226488832
162,-0.09024295350061066
163,-0.09055942321026722
164,-0.0905583511004017
165,-0.08994106781338032
166,-0.08907948377771306
167,-0.08997823681856301
168,-0.0891087202654587
169,-0.08773467754593854
170,-0.08631074513217489
171,-0.08701407627452691
172,-0.08784422767481097
173,-0.08708413853027766
174,-0.0867846306417543
175,-0.08441903442941844
176,-0.08424444114375751
177,-0.08552500348447764
178,-0.0868942583115643
179,-0.08819619134577016
180,-0.08788973048297935
181,-0.08801799000356604
182,-0.08889952326924762
183,-0.0886205336465876
184,-0.0873525970438549
185,-0.08688982544304304
186,-0.08444649366691336
187,-0.08402600904542708
188,-0.08484550731963585
189,-0.08571819526655956
190,-0.08590434226525542
191,-0.08471221150038324
192,-0.08299437783618084
193,-0.08412259684792177
194,-0.08176464971089574
195,-0.08158209514662206
196,-0.08083813793396048
197,-0.07910877195279896
198,-0.07793888817188635
199,-0.0807496785526811
200,-0.07905669692376098
201,-0.07855612031237522
202,-0.07806733241218299
203,-0.07650903116128117
204,-0.07649378518902296
205,-0.07696835268186959
206,-0.07807236405616866
207,-0.07817541077947514
208,-0.07651895755197748
209,-0.07591732913242565
210,-0.07656139311320982
211,-0.07585960886813294
212,-0.07583456136444591
213,-0.07338266376637746
214,-0.0741145572906448
215,-0.0738691297548075
216,-0.07272802277269617
217,-0.07053425003493388
218,-0.07004531835314665
219,-0.06966452524729463
220,-0.06887918700379395
221,-0.06935142156789799
222,-0.06923339187974506
223,-0.06872080635697426
224,-0.06628667330661904
225,-0.06499697343345254
226,-0.06586387693395554
227,-0.06531996315315622
228,-0.06603085982705999
229,-0.066090418309192
230,-0.06740015849640231
231,-0.0674424506231063
232,-0.06557978842560971
233,-0.0646109792755205
234,-0.062362949892096835
235,-0.06097709188806764
236,-0.06043513473177921
237,-0.0609590974338199
238,-0.06156456354027968
239,-0.06140738656436708
240,-0.06065484830464409
241,-0.06060852134640824
242,-0.05954184496418169
243,-0.05767858076607986
244,-0.056269311248654655
245,-0.05607867273412039
246,-0.055085793940171324
247,-0.05677078936533904
248,-0.05949434910119088
249,-0.06179131201948041
250,-0.06320640816329065
251,-0.0650506570228711
252,-0.0649255080219511
253,-0.06641687206045357
254,-0.06558623058510907
255,-0.06579412813299192
256,-0.06464112454600321
257,-0.06458400572829559
258,-0.06579335386628904
259,-0.0666917268627485
260,-0.0667013784641566
261,-0.06399408219418128
262,-0.06267423715859362
263,-0.06351726359691354
264,-0.06321043516944057
265,-0.06291337373794616
266,-0.062128586995669054
267,-0.06328852538591942
268,-0.062350312804318686
269,-0.06122189780716793
270,-0.06107439774796144
271,-0.059943006709090065
272,-0.05943219786882852
273,-0.057124866436305814
274,-0.05636132855331196
275,-0.055690842811378385
276,-0.05598036131037476
277,-0.05571072114479495
278,-0.05525534624829363
279,-0.05509601625774125
280,-0.054628853824354874
281,-0.05460661124608442
282,-0.05567319445920728
283,-0.055028110354764924
284,-0.05610822196292398
285,-0.055799294162017676
286,-0.055603354777232945
287,-0.0554611805881293
288,-0.05733685951172092
289,-0.057814059193293375
290,-0.05779803952601803
291,-0.057419131065676185
292,-0.057728801563975675
293,-0.055909504392906824
294,-0.056310872501767244
295,-0.056784538237016166
296,-0.055647503985942724
297,-0.05401103552562913
298,-0.053484217745849404
299,-0.05233619046021646
300,-0.05332502858312809
301,-0.0537104009778208
302,-0.05271231761999003
303,-0.051220024317430876
304,-0.05074163930695195
305,-0.05168239267801366
306,-0.051938001409934355
307,-0.05124353230637392
308,-0.052035874405453916
309,-0.052427290595947744
310,-0.05200515202525287
311,-0.05165839006549058
312,-0.04980574781918604
313,-0.04970987451447729
314,-0.04892821478783304
315,-0.04779713770560247
316,-0.048056925096238275
317,-0.04851543767727117
318,-0.04899289867686808
319,-0.05019975249233396
320,-0.04919115264376994
321,-0.0498042650511933
322,-0.04944611480133861
323,-0.05016491887296491
